	Unnamed: 0	Unnamed: 0.1	review_text	label
367	330	330	"
Телефон очень понравился! Рекомендую!
 
Достоинства: Телефон просто супер за свои деньги! Больише кнокпки, большой екран, очень емкая батарея, и громкий звук!
 
Недостатки: пока не нашел)
"	1
621	584	584	"
Неплохой телефончик, с 2 сим-картами, который беспроблемно работает. Больше от него ничего и не требуется. Удобно брать его с собой, размеры адекватные. Батарею держит неплохо. Умеет проигрывать музыку, имеет слабую камеру, позволяет слушать радио без наушников. Корпус глянцевый, пластик неплохого качества, по крайней мере не покрылся весь царапинами за несколько дней. Комплектация хорошая. Разобраться с ним было несложно, уж точно не сложнее, чем с современными смартфонами. Для звонков хороший вариант из недорогих.
"	1
595	558	558	"
Динамик один или два?
"	1
10680	720	720	"
Купил в октябре 2016г, в апреле 2017 в одно ""прекрасное"" утро просто перестал включаться. В сервисном центре сказали что сгорела Flash-память. Заменой не занимаются да и смысла не вижу. Лично к ""Розетке"" претензий не имею.
 
Достоинства: Цена, кол-во оперативы, экран
 
Недостатки: Крышка задняя немного люфтит
"	0
2641	1787	1787	"
Купил полгода назад, порадовал экран и наличие чехла и пленки в комплекте. На этом плюсы кончились, очень большие проблемы со связью (дозвонится на этот телефон получается с раза 3-6) телефон то недоступен то занят, непонятно почему. Очень слабый динамик, микрофон же искажает голос. Батарея слабовата, с трудом хватает на день. Вобщем телефон со своей главной функцией справляется ужасно, по остальным функциям как ""планшет"" неплох.
 
Достоинства: Отличный экран, неплохая производительность.
 
Недостатки: Проблемы со связью, слабый разговорный динамик.
"	0
1465	611	611	"
При моей активной работе, а я работаю торговым агентом, мне пришлось перепробовать много моделей сотовых телефонов различных марок и производителей. Телефон должен был надежным, если даже он нечаянно упадет в грязь. Связь должна быть всегда, даже если сигнал очень слабый. Батарея должна держать беспрекословно, без связи оставаться нельзя. Ну и конечно же в нем должна быть хотя бы маломальская камера, если вдруг цифровик разрядится или не захочет фотографировать, чтобы можно было сфотографировать брак товара для отчета. Из всего выше изложенного данная модель удовлетворяет всем требования. Сколько раз у меня падал этот телефон, был он и под дождем, и в грязи, к счастью не что его не берет. Его достоинства можно перечислять долго, при этом у него еще и адекватная цена. Поэтому рекомендую.
"	1
12153	397	397	"
Очень маркий экран.Без защитного стекла с олефоьным пользоватся будет нереально неудобно
 
Достоинства: Камера, 3 ГБ ОЗУ
 
Недостатки: На экране полностью отсутсвует олеофобное покрытие
"	0
13615	1859	1859	"
Одна звезда ....
 
Достоинства: Цена. Размеры. Для стариков которые хотят смарт, самое оно. Если не глючил...
 
Недостатки: Глючит страшно! Перестаёт звонить. Не включается моб. Интернет.
Сенсор очень тугой. Короче не рекомендую((
Купил деду, ему то все равно на интернет. Но не доволен что периодически не звонит
"	0
1013	159	159	"
телефон супер. если вам не очень нужна камера, берите, вам его хватит с головой) 2 сим... мп3.
"	1
9991	31	31	"
Так себе
 
Достоинства: Удобный, симпатичный
 
Недостатки: После месяца пользование перестал работать сенсор!Не работают некоторые буквы и стрелки:(
"	0
1101	247	247	"
норм телефон существенных недостатков нет, как для мамы, то подойдет, не очень удобно сделали слоты для симок (класический слот под батареей лучше и ничего не застрявает, ах да батарея тоже не сьемная, что не очень хорошо)
 
Достоинства: тонкий, удобный в пользовании, долго держит батарея, простой интерфейс
 
Недостатки: камера не очень качественная, мало внутренней памяти - надо покупать карту памяти, динамик не очень громкий, слоты под симки
"	1
1477	623	623	"
К примеру, для прочтения СМС абоненту, с которым в данный момент ведётся разговор, нет возможности выйти в меню. Приходиться прерывать разговор, заходить в меню СМС, переписывать номер накладной на листок, затем перезванивать и надиктовывать его абоненту. Каменный век, ребята! Та же история в момент разговора происходит с конвертором, калькулятором и т.д. Мелочь!? Возможно, но в той же Нокиа, этот процесс реализован. Это удобно и современно, если кто понимает о чём я! 
""Астро"", есть желание помочь сделать вашу продукцию лучше, давайте делать это вместе!?!
 
Недостатки: Нет возможности во время разговора с абонентом, выйти в общее меню
"	0
7912	3704	3704	"
Предыдущих два смартфона были Самсунг дуос (недорогие - по 2000 по старому курсу).
Долго выбирал новый, перечитал множество отзывов как здесь, так и на других сайтах.
Решил попробовать другую марку - также смотрел на Meizu и XIAOMI, но остановился на данном Huawei - уж очень впечатлила батарея 4000 мА*ч, в самсунгах было в 2 раза меньше и надоело заряжать по 2 раза в день. Плюс очень понравился внешний вид, приятно держать в руке. Плюс подкупило, что 16 Гб памяти, раньше очень не хватало, так как было 4.
Но из 16 Гб доступно всего 9,4 Гб! - но это больше, чем у меня было раньше, поэтому это не такой и минус для меня.

Тут писали, что у кого-то по 3 суток держалась.
Но у меня после первой зарядки он продержался 26 часов, т.е. 1 сутки + 2 часа - при этом в игры не играю и даже не скачивал их, фильмы в первый день не смотрел и не думал, музыку слушал только для проверки, звонков было 3 или 4 всего, основное пользование - это юзание функций, чтобы разобраться, как что работает. 

Тогда у меня вопрос - а насколько же его хватат, если играть в игры, смотреть фильмы, и случать часами музыку и сидеть в соцсетях/ вайберах? - Боюсь, что и на сутки не хватит батареи.

Касательно камеры: да, там 13 мегапикселей - у меня в самсунге было меньше, но на глаз я не могу определить разницу в качестве фото - я не знаю, как её определяют другие.
Да, и действительно в камере не отключается звук затвора! И даже если поставить на беззвучный, то камера всё равно работает с громких щелчком! Как бы там ни было, но разработчику большой минус - функция выключения звука должна быть по умолчанию - чтобы каждый сам решил, как ему снимать - со звуком или без. Я эту проблему решил, скачав в плей-маркете бесшумную камеру.

Там тоже андроид, как и в самсунге, но многие функции отличаются, мне как-то очень непривычно. Например, там не такой календарь - в самсунге мне нравился больше. 
Буквально сегодня обнаружил такое: если зайти в галерею фото, то там нет функции ""выбрать""/ ""выбрать все"" - получается, что чтобы удалить фото, надо каждое нажимать отдельно и отдельно удалять! - Думаю, такое никому не понравится.

Яркость экрана - даже на 100% он мне какой-то тёмный ... не хватает яркости.

Контакты - запись в контактах - не нашел я там, как добавить несколько номеров на одного человека, а на самсунге еще и адрес можно было добавить, и ещё что-то. 
Фон сообщений мне в самсенге больше нравился. Сами уведомления в самсунге тоже были удобнее. 

Моменты, которые не относятся к телефону, а совместимости с другими устройствами:

- раньше я скачал дист.пульт для управления смарт-тв (тоже Самсунг), скачал кучу всего и перебровала на этом, не могу найти такого (и не помню, как назывался) - подозверваю, что это связано с тем, что телефон был самсунг и у них какая-то совместимость с ТВ. 

- поскольку телефон поставляется без наушников, пока пользуюсь самсунговскими (так как еще не знаю, какие к нему лучше подойдут - у Huawei же нет наушников, насколько знаю).
Так вот с (дешевыми) наушниками Самсунг звук - плохой, по переключению: переключает радиостанции, но нельзя остановить радио. По трекам - треки через пульт не переключает, но можно остановить. Когда слушал радио и просматривал ленту на фейсбуке, нажал на короткое видео - видео воспроизводилось, но при этом играло радио - ничего такого на самсунге не было. Но да, я понимаю, что эти наушники несовместимы - надо искать другие.

Также - очень не хватает кнопки внизу по центру, как в Самсунге. 
Если я ставлю его не беззвучный, то даже не знаю, что меня пришли смс, другие сообщения с разных приложений ... А на самсунге они вылетали на экран. 

Вывод: двойственные впечатления ... после стольких более удобных функций Самсунга как-то непривычно и не всё устраивает ... и на деле не всё так, как описано. 
Я понимаю, что часто дело в привычке, но реально там нет мне привычных функций, или они есть, но они работают не так, как мне нравилось.
 
Достоинства: Приятный на вид, приятен в руке, понравилось, что есть бампер.
 
Недостатки: В комментарии всё описано.
"	0
1681	827	827	"
Не проработал и года. Перестал заряжаться. Авторизованный с/ц только в Киеве. Местный ремонт сказал что проблемы с процессором
 
Недостатки: Сломался
"	0
445	408	408	"
Рекомендую. Не пожалеете.
 
Достоинства: Очень удобный,долго держит зарядку. Рекомендую
 
Недостатки: недостатков нет. Все работает!
"	1
736	699	699	"
телефон супер, по такой цене работает отлично
"	1
3735	2881	2881	"
Такое ощущение, что создатели телефона перепутали основную с фронтальной камерой. На фронтальной камере снимки - идеальны, на основной какое-то бельмо .. Внутри корпуса, за пол года собралась пыль и это повлияло на основную камеру, так как снаружи она в пыли, разобрать не могу так как на гарантии. Очень недоволен, пытался продать никому он не надо. Скупой платит дважды, так что не жалейте денег и купите себе нормальный телефон!
 
Достоинства: Хорошо распознаёт отпечаток пальца, бюджетный.
 
Недостатки: Очень плохая основная камера! Пыль внутри корпуса (не герметичен)
"	0
975	121	121	"
Взяли этот телефон для работы в офисе. Но даже в идеальной тишине собеседника очень плохо слышно. Про улицу или магазин/кафе вообще молчу.
Разочарованы покупкой.
Даже на свою низкую цену от не тянет.
К тому же выглядит очень дешево. Фото не соответствуют. К сожалению, проговорили больше 5 минут, т.к.пытались его максимально проверить. Проверили, но теперь он возврату не подлежит. Только выбросить. Не рекомендую!
 
Достоинства: 2 сим-карты
 
Недостатки: Очень плохо слышно собеседника
"	0
281	244	244	"
Телефон вартий своїх грошей.
 
Достоинства: Ємкість батареї, Підсвітка клавіатури, Гучний Динамік.
 
Недостатки: Клавіші прийняття та відхилення виклику не відрізняються по кольору. (для літніх людей можливо буде незручно)
"	1
1221	367	367	"
Купили в подарок отцу. 
Немного посмешили винты на задней панели. Радует, что они не выпадают из крышки - не потеряются.
Увесистый, создает впечатление крепкого, неубиваемого.
Можно назначить на заднюю кнопку SOS звонок на любимый номер, при этом отменив функцию автоматической рассылки смс. Хорошо для тех пожилих людей, которые так и не разобрались, как звонить.

Немного болтается в зарядном стакане, который можно было бы сделать поглубже. 
Нет возможности назначить функцию включения фонарика на кнопки быстрого доступа, нужно копаться в меню.

Спасибо Розетке за сервис, еще и за сим-карту в подарок!

Не нашли, как регулировать звук радио, может, подскажете?
 #мояраспаковка
 
Достоинства: Увесистый, создает впечатление крепкого, неубиваемого.
Можно назначить на заднюю кнопку SOS звонок на любимый номер.
 
Недостатки: Немного болтается в зарядном стакане, который можно было бы сделать поглубже.
Нет возможности назначить функцию включения фонарика на кнопки быстрого доступа.
"	1
12064	308	308	"
Samsung Galaxy J7 использую третий день. Телефон хорош, но... все ж многовато ""но"" для не самого дешевого телефона...

С первого же дня стала очень сильно раздражать клавиатура- она очень (очень!) сильно тормозит, при наборе текста нужно постоянно умерять темп, потому как клавиатура совсем не справляется и не успевает за пальцами. Не знаю, как дальше будет- это жуть просто! Может, кто знает, как с этим бороться????

Еще один неясный и раздражающий момент- самопроизвольные блокировки/разблокировки экрана. Например, держишь телефон в руке, нажал кнопку блокировки, ставишь на стол, а он включается! И наоборот- возьмешь в руки, не нажимая ничего- он включается/выключается. Такое происходит не всегда, но стабильно и очень часто. От чего зависит- мне не ясно. Настройки все излажены вдоль и поперек- как с этим бороться не выяснено... Может, кто-то что-то подскажет?

И самое ""приятное"" : с первого же дня начала серьезно висеть камера. В первый день снимки делались на испытание терпения- по 4-5 сек! Это ненормально. Также после сделанного снимка если зайти сразу в Галерею- висяк тут же, зависает серьезно до принудительной остановки приложения. Виснет не в 100% случаев, но очень часто!

Представители Samsung! Что мне делать с этими маленькими, но жутко досаждающими ""радостями""? Это лишь три дня, а дальше, боюсь, обнаружить еще что-то на эту тему((((((

Пока что бесконечно радует только батарея- она жива уже третьи сутки (правда, не мегаактивного пользования- мессенджер, звонки, фото, умеренно интернет).

Также к вниманию тех, кто хочет приобрести сей аппарат в цвете голд: перед покупкой в интернете хорошо присмотритесь- непонятно, почему производитель так назвал этот цвет, потому как это скорее бронз, какое-то грязновато-блеклое какао... в общем, не голд точно. Хотя цвет хорош по-своему и телефон красивый.

В общем, телефоном была б довольна, если б не вышеприведенные лаги. Со страхом жду выявления еще чего-то подобного. Буду благодарна за конструктивные советы.
 
Достоинства: Качество фотографий, батарея
 
Недостатки: Зависает камера, тормозит клавиатура, самопроизвольные блокировка/ разблок.экрана
"	0
4301	93	93	"
Купил месяц назад, аккумулятор не держит заряд, что делать незнаю.
 
Недостатки: Быстро садится аккумулятор.
"	0
11610	1650	1650	"
Либо мне попался брак, либо они все такие. Только сегодня(!) получила планшет и вот тебе неприятность: после часа использования он просто взял и выключился ни с того, ни с сего. Пробую включить - работает несколько минут и снова. В общем, я недовольна. И главное - нельзя исправить. При этом на нем было 60 процентов заряда. В общем, либо поменяйте, либо верните деньги!
 
Достоинства: Нет
 
Недостатки: Не работает
"	0
10571	611	611	"
Здравствуйте, недавно купила у вас планшет. Заметила, что заряжается очень долго, за ночь на 70-80%. А разряжается примерно за три часа активного использования. Пробовала и родное зарядное, которое на 1 ампер, и другое которое на 2.1, результат одинаковый. В чем может быть проблема? Это у меня одной такое?
Во время пользования, планшет будучи на подзарядке, все равно разряжается(проценты идут в обратном порядке)
Пользуюсь чуть меньше недели.
"	0
981	127	127	"
прекрасный, простой аппарат
 
Достоинства: Цена_качество!
"	1
122	85	85	"
Пожалуй, самый минималистичный и дешевый телефон на сегодняшний день. Звонить можно, работает, не глючит, а большего не надо. Телефон удобен, кнопки хорошо сделаны. 2 симкарты, можно звонить и отправлять смс, не задумываясь, как это сделать. Зарядка раз в 4-5 дней - достойно. Очень маленький и легкий, влезет в любой карман и будет почти незаметен.Цена/качество просто супер. Есть много других похожих телефонов, но в два раза дороже. Смысл переплачивать.
"	1
587	550	550	"
Для бабушек, дедушек идеальный телефон. Он простой, шрифт очень крупный на дисплее. Повеселило радио, антенна выдвижная, поэтому вещает без наушников и ловит сигнал очень даже хорошо. Я бы вряд ли захотел, чтобы у меня такая антенна была припрятана в телефоне, а для деда любимая опция после звонков. Кнопка СОС есть, надеюсь, не понадобится, но штука хорошая. Примочек тут особых нет, но это и к лучшему, все-таки на взрослое поколение рассчитан телефон. Зато батарею хорошо держит. Озвучка хорошая функция, можно отключить, если мешает, но реализована на нескольких языках, голом не гуманоидный, все четко. Телефон что надо. Рекомендую!
"	1
280	243	243	"
телефон неплохой. купил для отца (78 лет). ему понравилось. очень быстро освоил. но вот с оперативной(встроенной) памятью как-то не сложилось ). заявлено 32 МБ , а реально 32 кБ ! что за ""прикол"" ?
 
Достоинства: прост в пользовании, громкость звука, хорошая АКБ .
 
Недостатки: ГДЕ ОБЕЩАННЫЕ 32 МБ ???!!!))))))
"	1
6018	1810	1810	"
Придбав. Розчарований. Навігації GPS не знайшов. Тільки карти Гугл. Але потрібний інтернет, а при поїздці автом покриття є не всюди. У значно старіших моделях інших виробників навігація працює як автономно, так і з інтернетом. 
Посередній екран і камера. Завищена ціна 
Купувати не раджу -- можна знайти кращі варіанти. І дешевші.
 
Достоинства: Досить швидкий, добре тримає мережу.
 
Недостатки: Відсутність автономного навігатора. Сильно завищена ціна.
"	0
7919	3711	3711	"
Пользуюсь 2 месяца, уже сдавал в ремонт, так как пропал звук, телефон постоянно глючит. На сервисе его перепрошили, но сенсор все равно не реагируют так быстро., буквы при наборе текста не успевают за нажатием и залипают на экране. Перед этим был Самсунг s4, по сравнению с Huawei это была ракета, если б не батарея, то не покупал бы Huawei.
 
Достоинства: Хорошо держит батарея
 
Недостатки: В интернете тормозит, при наборе текста, буквы залипают на экране.
"	0
834	797	797	"
Телефон взял, как работающий с двумя сим-картами и с мощной батареей. Мне понравился его стильный дизайн, в отличие от массы телефонов, которые продаются повсюду. В пользовании 3 дня. Сказать, что разобрался со всеми его возможностями, - нет. Потому что не пытался этого делать. Мелодию свою на звонок поставил. Сим-карты вставил, настроил. И пользуюсь. Клавиатура очень удобная. Смс можно набирать на бегу одной рукой. Экран довольно большой для его размеров. Всяких сверхсовременных заморочек в нем нет. Даже камера всего 1.3. Поэтому он подходит для звонков тем, кто много разговаривает и не любит заряжать батарею часто. Сколько она держит, пока сказать не могу. Но за 3 дня особо не просела. Рекомендую!
"	1
7228	3020	3020	"
Буду краток. Единственное, что приятно - это неплохая АКБ, но и она не ""фонтан"". Не могу сказать, что АКБ мощная, повторюсь - неплохая.
Катастрофически неудобным оказалось гнездо и НЕфункционал 2-х СИМок + карта памяти! Внутренняя память мизерная, всего 8Гб, т.е. я купил мобильный, а в нем уже осталось только 4Гб свободных!!! Закачал 3-4 программки простеньких, осталось 2,4Гб. А мне еще надо будет 2-3 программки и фотки и видео иногда снимать!...
 
Достоинства: Неплохая АКБ
 
Недостатки: Очень мало вн. памяти. Невозможность использовать ""2-х СИМ+карта памяти""
"	0
725	688	688	"
Пользуюсь месяц, покупал в Розетке, всё устраивает, отличный телефон для звонков и СМС!
 
Достоинства: Всё работает без збоев!
 
Недостатки: Нет!
"	1
1469	615	615	"
Удобная вещь!!! Батарею держит потрясающе долго! Звук в телефоне мне тоже очень нравится – чистый, громкий. Камера в нем всего-ничего, хотя при выборе телефона это не имело значения, так как пользуюсь цифровым фотоаппаратом. Тем не менее, передача цветов достоверна. Экран нормальный. Да и в солнечную погоду вполне даже можно прочитать СМСку, читаемость хорошая. Телефон супер, очень мне понравился...
 
Достоинства: Батарея, характеристики и их соответствие, дизайн, защита
 
Недостатки: Ничего такого не нашел
"	1
3780	2926	2926	"
Користуюсь з вересня. Через 3 тиждня почав сам виключатись. Відправив по гарантії на ремонт. Після ремонту пройшов тиждень і таж історія. От і мучусь тепер і думаю скільки ще раз треба його відправляти на ремонт щоб мати робочий апарат?
 
Достоинства: Хороші характеристикі за таку ціну.
 
Недостатки: Сам по собі вимикається!
"	0
12589	833	833	"
Сказать, что я разочарован... ничего не сказать!!! Батарея-плакать хочется! Камера... греется телефон, это как вообще? Весь Херсон обошел чтоб купить 3D стекло, в итоге не нашёл и пришлось покупать через инет. Сюрпризом оказалось, что можно использовать либо 2 симки, либо одну симку и карту памяти, а не одновременно всё сразу, но это я виноват, что не дочитал, либо это не указалось в описании. И иногда само по себе отключается сим карта в первом слоте... приходится перезагружать тел., и работает. Итог.... не рекомендую. Это лично моё мнение, которое никому не навязую. Возможно я как-то не правильно использую телефон... вообщем не знаю. Мой предыдущий Lenovo P70 просто космос был в сравнении.
 
Достоинства: Достоинства? Да обычный телефон... ничего сверх естественного.
 
Недостатки: Батарея! Часов 8_10 почти активного использования...
"	0
9581	5373	5373	"
Буду откровенен, при выборе смартфона большую роль сыграли отзывы! На тот момент 40 из 40 пользователей давали этой модели максимальную отметку!
Как бы сильно меня не восхищало качество изображения фотографий, звук, в сочетании с престижным дизайном, у меня есть замечания к данному телефону (не исключено что единичный случай):
- смартфон был приобретен для того что бы быть на связи 24 часа в сутки. Прихожу домой, отключаю передачу данных и жду подключения к заведомо сохраненному домашнему Wi-Fi... ожидание затягивается, в плоть до перезагрузки аппарата!
- не однократно сталкиваюсь с просьбой (ко мне от агрегата) перезагрузить телефон, после запуска камеры, так как она используется другим приложением. Неприятно! Так как яркие семейные моменты теряются. 
- батарея и вправду очень и очень мала, если учесть то, что данная модель имеет довольно престижную диагональ (как мы знаем, именно экран является самым большим потребителем питания) даже с учетом того, что после первого включения был сразу обновлен Андроид до энергосберегающей версии - 6.0
- постоянно наблюдается зависание приложений (не чего особого, соц.сети, приват24, все официальное), это при том что я регулярно просматриваю нагрузку телефона и использую ""местный"" ускоритель для очистки оперативной памяти. Мои старания в том что бы не грузить аппарат, не запускать одновременно более 2 приложений, не оправданы! 
Предыдущим моим ""товарищем"" был Oukitel K6000 Pro, самый что не есть настоящий фирменный китаец! Оперативной памяти там побольше будет, на 1 гиг, но продуктивность.... телефон легко справлялся с нагрузкой в 4-5 приложений + браузер с 2-3 вкладками + запущенной игрой (одновременно), и что такое ""зависание"" он не знал! 
Учитывая ценовую политику, в сравнении этих двух моделей (абсолютно разных), считаю что покупка смартфона довольно известного бренда НЕ ЦЕЛЕОБРАЗНА!
 
Достоинства: Дизайн! Камера! Звук!
 
Недостатки: Самостоятельность!
"	0
